timestamp;simple-path;time
2021-06-01 13:36:37.486;/administrator/customisation/show;525
2021-06-01 13:38:02.188;/administrator/customisation/show;526
2021-06-01 13:33:57.797;/administrator/customisation/update;555
2021-06-01 13:34:06.474;/administrator/customisation/update;547
2021-06-01 13:34:12.04;/administrator/customisation/update;545
2021-06-01 13:34:51.905;/administrator/customisation/update;526
2021-06-01 13:34:57.646;/administrator/customisation/update;551
2021-06-01 13:34:59.2;/administrator/customisation/update;534
2021-06-01 13:35:43.071;/administrator/customisation/update;538
2021-06-01 13:35:48.779;/administrator/customisation/update;532
2021-06-01 13:35:51.335;/administrator/customisation/update;529
2021-06-01 13:36:27.175;/administrator/customisation/update;529
2021-06-01 13:39:33.743;/administrator/dashboard/show;1116
2021-06-01 13:40:10.095;/administrator/dashboard/show;1053
2021-06-01 13:09:06.279;/anonymous/shout/create;529
2021-06-01 13:09:11.932;/anonymous/shout/create;539
2021-06-01 13:09:22.896;/anonymous/shout/create;526
2021-06-01 13:09:29.555;/anonymous/shout/create;537
2021-06-01 13:09:41.583;/anonymous/shout/create;536
2021-06-01 13:09:47.377;/anonymous/shout/create;533
2021-06-01 13:10:00.377;/anonymous/shout/create;536
2021-06-01 13:10:06.07;/anonymous/shout/create;537
2021-06-01 13:10:14.081;/anonymous/shout/create;538
2021-06-01 13:10:21.772;/anonymous/shout/create;545
2021-06-01 13:10:32.793;/anonymous/shout/create;553
2021-06-01 13:10:37.483;/anonymous/shout/create;543
2021-06-01 13:10:50.529;/anonymous/shout/create;537
2021-06-01 13:10:59.205;/anonymous/shout/create;544
2021-06-01 13:11:13.226;/anonymous/shout/create;539
2021-06-01 13:11:20.93;/anonymous/shout/create;539
2021-06-01 13:11:32.953;/anonymous/shout/create;538
2021-06-01 13:07:05.197;/anonymous/shout/list_recent;530
2021-06-01 13:07:29.65;/anonymous/shout/list_recent;535
2021-06-01 13:07:48.965;/anonymous/shout/list_recent;539
2021-06-01 13:08:09.219;/anonymous/shout/list_recent;538
2021-06-01 13:11:46.274;/anonymous/shout/list_recent;551
2021-06-01 13:12:38.876;/anonymous/task/list_public_non_finished;566
2021-06-01 13:13:11.232;/anonymous/task/list_public_non_finished;1083
2021-06-01 13:12:59.555;/anonymous/task/show;1068
2021-06-01 13:13:32.97;/anonymous/task/show;1091
2021-06-01 13:21:57.058;/anonymous/user-account/create;537
2021-06-01 13:22:51.87;/anonymous/user-account/create;533
2021-06-01 13:23:47.698;/anonymous/user-account/create;536
2021-06-01 13:24:45.483;/anonymous/user-account/create;532
2021-06-01 13:25:39.27;/anonymous/user-account/create;538
2021-06-01 13:26:37.095;/anonymous/user-account/create;538
2021-06-01 13:27:41.862;/anonymous/user-account/create;533
2021-06-01 13:28:31.615;/anonymous/user-account/create;535
2021-06-01 13:29:34.349;/anonymous/user-account/create;552
2021-06-01 13:30:27.765;/anonymous/user-account/create;537
2021-06-01 13:31:18.946;/anonymous/user-account/create;542
2021-06-01 13:32:16.433;/anonymous/user-account/create;532
2021-06-01 13:20:36.305;/authenticated/manager/create;535
2021-06-01 13:14:40.448;/authenticated/task/list_public_finished;1134
2021-06-01 13:15:34.759;/authenticated/task/list_public_finished;599
2021-06-01 13:16:40.51;/authenticated/task/list_public_finished;1064
2021-06-01 13:17:49.698;/authenticated/task/list_public_finished;605
2021-06-01 13:18:42.321;/authenticated/task/list_public_finished;1069
2021-06-01 13:14:59.626;/authenticated/task/show;533
2021-06-01 13:15:55.903;/authenticated/task/show;532
